Session_ID,Location_Zone,Time_of_Day,Product_Category,Cart_Status,Cart_Value_INR,Session_Duration_Sec,Delivery_Time_Min,Waste_Risk_Level,Cross_Sell_Accepted
SID100965,Powai,10 PM–2 AM,Personal Care,Completed,282,61,11,Low,No
SID100966,Thane,3–6 PM,Fresh Produce,Abandoned,266,183,8,High,No
SID100967,Dadar,6–10 PM,Snacks & Beverages,Completed,285,56,9,Medium,Yes
SID100968,Dadar,6–10 PM,Dairy,Abandoned,253,117,10,Medium,No
SID100969,Andheri,9 AM–12,Dairy,Abandoned,169,256,11,High,No
SID100970,Dadar,6–10 PM,Snacks & Beverages,Completed,363,80,10,Medium,Yes
SID100971,Thane,9 AM–12,Fresh Produce,Completed,546,28,7,High,No
SID100972,Thane,9 AM–12,Staples & Grains,Completed,458,128,8,Low,No
SID100973,Andheri,6–10 PM,Dairy,Completed,200,168,13,High,No
SID100974,Dadar,6–10 PM,Snacks & Beverages,Completed,287,165,10,Medium,No
SID100975,Dadar,12–3 PM,Fresh Produce,Completed,377,160,11,Medium,No
SID100976,Andheri,10 PM–2 AM,Fresh Produce,Completed,257,90,6,High,No
SID100977,Bandra,9 AM–12,Fresh Produce,Abandoned,82,171,15,Medium,No
SID100978,Bandra,6–10 PM,Frozen Foods,Completed,405,83,8,Medium,No
SID100979,Andheri,12–3 PM,Staples & Grains,Completed,205,126,12,Low,No
SID100980,Powai,3–6 PM,Staples & Grains,Abandoned,157,217,13,Low,No
SID100981,Andheri,12–3 PM,Fresh Produce,Abandoned,133,144,10,High,No
SID100982,Thane,9 AM–12,Staples & Grains,Abandoned,261,206,12,Low,No
SID100983,Bandra,10 PM–2 AM,Fresh Produce,Abandoned,274,249,11,Medium,No
SID100984,Bandra,12–3 PM,Fresh Produce,Abandoned,213,284,12,Medium,No
SID100985,Dadar,10 PM–2 AM,Fresh Produce,Completed,301,75,8,Medium,No
SID100986,Andheri,12–3 PM,Staples & Grains,Abandoned,93,279,9,Low,No
SID100987,Andheri,10 PM–2 AM,Staples & Grains,Completed,191,87,9,Low,No
SID100988,Dadar,12–3 PM,Snacks & Beverages,Completed,319,132,10,Medium,Yes
SID100989,Dadar,3–6 PM,Personal Care,Completed,270,76,11,Medium,No
SID100990,Dadar,3–6 PM,Fresh Produce,Abandoned,212,112,13,Medium,No
SID100991,Powai,10 PM–2 AM,Fresh Produce,Abandoned,133,185,9,Low,No
SID100992,Andheri,12–3 PM,Staples & Grains,Completed,287,125,8,Low,No
SID100993,Dadar,6–10 PM,Snacks & Beverages,Abandoned,77,179,9,Medium,No
SID100994,Thane,3–6 PM,Personal Care,Completed,273,104,12,Low,No
SID100995,Bandra,6–10 PM,Frozen Foods,Abandoned,190,32,13,Medium,No
SID100996,Dadar,12–3 PM,Fresh Produce,Abandoned,62,178,8,Medium,No
SID100997,Powai,6–9 AM,Snacks & Beverages,Completed,296,99,6,Low,No
SID100998,Bandra,10 PM–2 AM,Staples & Grains,Completed,246,45,13,Medium,No
SID100999,Andheri,6–9 AM,Staples & Grains,Completed,224,84,10,Low,No
SID101000,Andheri,10 PM–2 AM,Frozen Foods,Abandoned,291,186,11,Low,No
SID101001,Dadar,9 AM–12,Staples & Grains,Abandoned,144,194,8,Medium,No
SID101002,Thane,3–6 PM,Personal Care,Completed,241,110,9,Low,No
SID101003,Thane,9 AM–12,Personal Care,Completed,205,73,5,Low,No
SID101004,Powai,6–9 AM,Snacks & Beverages,Completed,193,148,11,Low,No
SID101005,Thane,6–9 AM,Frozen Foods,Completed,160,101,11,Low,No
SID101006,Bandra,9 AM–12,Dairy,Completed,359,110,11,Medium,Yes
SID101007,Bandra,10 PM–2 AM,Fresh Produce,Abandoned,148,161,9,Medium,No
SID101008,Thane,12–3 PM,Staples & Grains,Abandoned,117,165,12,Low,No
SID101009,Dadar,9 AM–12,Fresh Produce,Abandoned,182,191,7,Medium,No
SID101010,Powai,10 PM–2 AM,Personal Care,Completed,119,104,6,Low,No
SID101011,Andheri,6–9 AM,Staples & Grains,Completed,367,95,8,Low,No
SID101012,Dadar,3–6 PM,Fresh Produce,Abandoned,122,162,9,Medium,No
SID101013,Dadar,6–10 PM,Fresh Produce,Abandoned,199,143,6,Medium,No
SID101014,Thane,6–9 AM,Fresh Produce,Completed,392,156,6,High,No
SID101015,Andheri,3–6 PM,Snacks & Beverages,Completed,309,148,12,Low,Yes
SID101016,Bandra,6–10 PM,Fresh Produce,Completed,265,143,11,Medium,No
SID101017,Andheri,6–10 PM,Staples & Grains,Completed,282,138,9,Low,No
SID101018,Dadar,6–9 AM,Staples & Grains,Completed,208,20,12,Medium,No
SID101019,Thane,6–10 PM,Personal Care,Completed,121,35,12,Low,No
SID101020,Dadar,6–10 PM,Fresh Produce,Completed,215,159,6,Medium,No
SID101021,Thane,6–9 AM,Fresh Produce,Completed,136,105,14,High,No
SID101022,Thane,10 PM–2 AM,Staples & Grains,Abandoned,183,227,11,Low,No
SID101023,Bandra,3–6 PM,Fresh Produce,Completed,293,120,10,Medium,No
SID101024,Dadar,6–10 PM,Staples & Grains,Abandoned,220,182,9,Medium,No
SID101025,Andheri,10 PM–2 AM,Staples & Grains,Abandoned,105,198,6,Low,No
SID101026,Powai,6–9 AM,Snacks & Beverages,Completed,249,86,8,Low,Yes
SID101027,Andheri,3–6 PM,Frozen Foods,Abandoned,169,232,10,Low,No
SID101028,Bandra,6–10 PM,Dairy,Completed,416,126,9,Medium,No
SID101029,Dadar,12–3 PM,Snacks & Beverages,Abandoned,106,193,12,Medium,No
SID101030,Powai,6–10 PM,Fresh Produce,Abandoned,223,171,14,Low,No
SID101031,Thane,6–10 PM,Fresh Produce,Abandoned,121,89,11,High,No
SID101032,Dadar,12–3 PM,Staples & Grains,Completed,309,146,12,Medium,No
SID101033,Powai,3–6 PM,Snacks & Beverages,Abandoned,142,196,12,Low,No
SID101034,Dadar,10 PM–2 AM,Personal Care,Completed,330,180,9,Medium,No
SID101035,Thane,6–9 AM,Fresh Produce,Completed,284,121,9,High,No
SID101036,Bandra,3–6 PM,Dairy,Completed,247,110,11,Medium,Yes
SID101037,Thane,6–10 PM,Staples & Grains,Abandoned,250,136,8,Low,No
SID101038,Bandra,3–6 PM,Staples & Grains,Completed,387,56,11,Medium,No
SID101039,Andheri,12–3 PM,Dairy,Abandoned,204,216,9,High,No
SID101040,Andheri,9 AM–12,Personal Care,Completed,366,59,11,Low,No
SID101041,Bandra,6–10 PM,Frozen Foods,Abandoned,103,179,9,Medium,No
SID101042,Powai,10 PM–2 AM,Staples & Grains,Completed,278,116,12,Low,No
SID101043,Andheri,3–6 PM,Frozen Foods,Completed,271,115,5,Low,No
SID101044,Andheri,12–3 PM,Fresh Produce,Completed,325,107,15,High,No
SID101045,Andheri,3–6 PM,Staples & Grains,Abandoned,199,173,12,Low,No
SID101046,Thane,9 AM–12,Personal Care,Completed,274,122,11,Low,No
SID101047,Thane,6–10 PM,Snacks & Beverages,Completed,478,106,7,Low,No
SID101048,Thane,9 AM–12,Personal Care,Completed,355,98,10,Low,No
SID101049,Powai,12–3 PM,Dairy,Abandoned,143,253,14,Low,No
SID101050,Thane,6–10 PM,Staples & Grains,Abandoned,162,118,10,Low,No
SID101051,Dadar,12–3 PM,Staples & Grains,Completed,307,53,8,Medium,No
SID101052,Dadar,6–10 PM,Snacks & Beverages,Completed,312,54,13,Medium,No
SID101053,Thane,9 AM–12,Personal Care,Completed,173,94,13,Low,No
SID101054,Powai,6–10 PM,Dairy,Completed,50,154,11,Low,No
SID101055,Powai,9 AM–12,Staples & Grains,Completed,235,93,9,Low,No
SID101056,Powai,9 AM–12,Personal Care,Completed,252,89,6,Low,No
SID101057,Thane,3–6 PM,Snacks & Beverages,Completed,317,61,6,Low,No
SID101058,Andheri,6–10 PM,Dairy,Abandoned,188,206,9,High,No
SID101059,Bandra,10 PM–2 AM,Personal Care,Completed,303,96,12,Medium,No
SID101060,Andheri,3–6 PM,Snacks & Beverages,Completed,355,39,16,Low,No
SID101061,Dadar,6–10 PM,Fresh Produce,Completed,318,90,7,Medium,No
SID101062,Bandra,6–9 AM,Staples & Grains,Completed,323,105,11,Medium,No
SID101063,Dadar,12–3 PM,Frozen Foods,Completed,356,121,5,Medium,No
SID101064,Andheri,6–9 AM,Staples & Grains,Abandoned,157,120,11,Low,No
SID101065,Andheri,10 PM–2 AM,Snacks & Beverages,Abandoned,153,147,7,Low,No
SID101066,Powai,12–3 PM,Fresh Produce,Completed,338,113,10,Low,No
SID101067,Dadar,12–3 PM,Snacks & Beverages,Completed,358,96,14,Medium,No
SID101068,Powai,6–9 AM,Snacks & Beverages,Abandoned,211,137,18,Low,No
SID101069,Bandra,10 PM–2 AM,Frozen Foods,Completed,281,119,11,Medium,No
SID101070,Andheri,3–6 PM,Snacks & Beverages,Completed,295,30,8,Low,Yes
SID101071,Bandra,12–3 PM,Frozen Foods,Completed,270,121,12,Medium,No
SID101072,Thane,6–9 AM,Personal Care,Completed,332,43,9,Low,No
SID101073,Dadar,6–9 AM,Staples & Grains,Completed,362,103,10,Medium,No
SID101074,Andheri,3–6 PM,Fresh Produce,Abandoned,191,176,9,High,No
SID101075,Thane,9 AM–12,Dairy,Abandoned,207,166,9,High,No
SID101076,Dadar,3–6 PM,Fresh Produce,Completed,210,139,12,Medium,No
SID101077,Bandra,6–10 PM,Fresh Produce,Abandoned,75,196,10,Medium,No
SID101078,Powai,3–6 PM,Staples & Grains,Abandoned,206,186,10,Low,No
SID101079,Powai,9 AM–12,Staples & Grains,Abandoned,197,167,9,Low,No
SID101080,Thane,3–6 PM,Dairy,Abandoned,251,190,10,High,No
SID101081,Powai,9 AM–12,Frozen Foods,Abandoned,246,88,14,Low,No
SID101082,Andheri,6–10 PM,Snacks & Beverages,Completed,246,111,14,Low,Yes
SID101083,Andheri,3–6 PM,Snacks & Beverages,Completed,314,50,11,Low,Yes
SID101084,Thane,12–3 PM,Snacks & Beverages,Abandoned,123,277,6,Low,No
SID101085,Andheri,9 AM–12,Frozen Foods,Completed,223,120,12,Low,No
SID101086,Andheri,6–10 PM,Dairy,Completed,215,49,12,High,No
SID101087,Dadar,9 AM–12,Dairy,Completed,192,71,5,Medium,Yes
SID101088,Bandra,10 PM–2 AM,Fresh Produce,Abandoned,204,109,8,Medium,No
SID101089,Thane,12–3 PM,Fresh Produce,Completed,134,131,9,High,No
SID101090,Andheri,12–3 PM,Staples & Grains,Completed,388,66,7,Low,No
SID101091,Andheri,6–9 AM,Frozen Foods,Abandoned,140,185,8,Low,No
SID101092,Bandra,9 AM–12,Dairy,Completed,410,62,11,Medium,No
SID101093,Bandra,6–10 PM,Snacks & Beverages,Abandoned,50,273,13,Medium,No
SID101094,Bandra,6–10 PM,Frozen Foods,Abandoned,151,131,10,Medium,No
SID101095,Bandra,10 PM–2 AM,Fresh Produce,Abandoned,96,117,6,Medium,No
SID101096,Dadar,6–10 PM,Dairy,Completed,269,145,5,Medium,No
SID101097,Powai,6–10 PM,Snacks & Beverages,Completed,299,120,13,Low,No
SID101098,Bandra,9 AM–12,Fresh Produce,Abandoned,174,78,8,Medium,No
SID101099,Dadar,6–10 PM,Staples & Grains,Abandoned,165,273,8,Medium,No
SID101100,Bandra,6–10 PM,Frozen Foods,Abandoned,209,176,11,Medium,No
SID101101,Dadar,9 AM–12,Snacks & Beverages,Abandoned,218,283,10,Medium,No
SID101102,Bandra,12–3 PM,Dairy,Abandoned,126,205,9,Medium,No
SID101103,Andheri,6–10 PM,Snacks & Beverages,Completed,320,139,5,Low,No
SID101104,Powai,6–10 PM,Fresh Produce,Abandoned,287,255,15,Low,No
SID101105,Bandra,6–9 AM,Snacks & Beverages,Completed,312,134,6,Medium,No
SID101106,Dadar,6–10 PM,Staples & Grains,Abandoned,76,144,7,Medium,No
SID101107,Andheri,6–10 PM,Personal Care,Completed,254,95,12,Low,No
SID101108,Dadar,6–10 PM,Personal Care,Completed,233,170,16,Medium,No
SID101109,Bandra,9 AM–12,Dairy,Abandoned,262,167,10,Medium,No
SID101110,Thane,6–10 PM,Snacks & Beverages,Completed,456,110,10,Low,No
SID101111,Powai,9 AM–12,Staples & Grains,Abandoned,279,176,12,Low,No
SID101112,Dadar,6–10 PM,Staples & Grains,Abandoned,117,198,8,Medium,No
SID101113,Thane,3–6 PM,Snacks & Beverages,Completed,346,171,9,Low,Yes
SID101114,Thane,10 PM–2 AM,Snacks & Beverages,Completed,214,142,11,Low,Yes
SID101115,Dadar,12–3 PM,Staples & Grains,Completed,349,66,7,Medium,No
SID101116,Bandra,9 AM–12,Fresh Produce,Abandoned,145,129,5,Medium,No
SID101117,Thane,10 PM–2 AM,Fresh Produce,Completed,327,90,13,High,No
SID101118,Andheri,6–10 PM,Dairy,Abandoned,198,229,12,High,No
SID101119,Thane,3–6 PM,Dairy,Abandoned,160,187,10,High,No
SID101120,Bandra,6–10 PM,Snacks & Beverages,Completed,278,108,8,Medium,No
SID101121,Bandra,9 AM–12,Staples & Grains,Completed,197,43,10,Medium,No
SID101122,Bandra,6–10 PM,Snacks & Beverages,Abandoned,223,220,12,Medium,No
SID101123,Thane,3–6 PM,Staples & Grains,Abandoned,186,237,9,Low,No
SID101124,Thane,3–6 PM,Fresh Produce,Completed,204,140,12,High,No
SID101125,Bandra,6–10 PM,Dairy,Abandoned,184,211,13,Medium,No
SID101126,Powai,6–10 PM,Staples & Grains,Completed,360,191,8,Low,No
SID101127,Thane,6–10 PM,Fresh Produce,Abandoned,232,192,9,High,No
SID101128,Andheri,10 PM–2 AM,Snacks & Beverages,Completed,323,133,8,Low,No
SID101129,Thane,12–3 PM,Snacks & Beverages,Completed,205,170,13,Low,Yes
SID101130,Andheri,6–9 AM,Dairy,Completed,438,117,7,High,No
SID101131,Bandra,6–9 AM,Personal Care,Completed,333,86,10,Medium,No
SID101132,Powai,10 PM–2 AM,Snacks & Beverages,Completed,331,123,12,Low,No
SID101133,Powai,3–6 PM,Snacks & Beverages,Completed,330,105,8,Low,No
SID101134,Dadar,9 AM–12,Staples & Grains,Completed,253,116,11,Medium,No
SID101135,Bandra,3–6 PM,Dairy,Abandoned,212,161,8,Medium,No
SID101136,Bandra,6–10 PM,Snacks & Beverages,Completed,342,83,6,Medium,No
SID101137,Thane,12–3 PM,Frozen Foods,Abandoned,173,173,10,Low,No
SID101138,Thane,6–9 AM,Fresh Produce,Abandoned,256,236,6,High,No
SID101139,Bandra,9 AM–12,Staples & Grains,Abandoned,292,231,10,Medium,No
SID101140,Andheri,12–3 PM,Fresh Produce,Abandoned,181,195,5,High,No
SID101141,Andheri,10 PM–2 AM,Snacks & Beverages,Completed,310,150,12,Low,No
SID101142,Bandra,10 PM–2 AM,Snacks & Beverages,Completed,488,156,9,Medium,No
SID101143,Thane,6–10 PM,Snacks & Beverages,Abandoned,133,129,8,Low,No
SID101144,Andheri,9 AM–12,Personal Care,Completed,284,84,11,Low,No
SID101145,Dadar,12–3 PM,Snacks & Beverages,Abandoned,170,168,8,Medium,No
SID101146,Andheri,3–6 PM,Snacks & Beverages,Completed,383,42,7,Low,No
SID101147,Thane,3–6 PM,Frozen Foods,Completed,299,47,11,Low,No
SID101148,Powai,6–9 AM,Snacks & Beverages,Completed,280,62,16,Low,Yes
SID101149,Thane,12–3 PM,Frozen Foods,Abandoned,76,151,15,Low,No
SID101150,Andheri,3–6 PM,Staples & Grains,Completed,342,149,7,Low,No
SID101151,Andheri,12–3 PM,Staples & Grains,Completed,258,109,12,Low,No
SID101152,Powai,3–6 PM,Fresh Produce,Completed,281,92,6,Low,No
SID101153,Dadar,9 AM–12,Fresh Produce,Abandoned,317,240,15,Medium,No
SID101154,Thane,12–3 PM,Staples & Grains,Completed,163,185,9,Low,No
SID101155,Bandra,12–3 PM,Fresh Produce,Abandoned,180,219,7,Medium,No
SID101156,Thane,3–6 PM,Fresh Produce,Abandoned,227,215,6,High,No
SID101157,Dadar,6–10 PM,Snacks & Beverages,Completed,378,107,8,Medium,No
SID101158,Andheri,10 PM–2 AM,Snacks & Beverages,Completed,414,94,13,Low,No
SID101159,Bandra,3–6 PM,Snacks & Beverages,Abandoned,134,193,11,Medium,No
SID101160,Andheri,3–6 PM,Staples & Grains,Completed,356,80,12,Low,No
SID101161,Dadar,6–10 PM,Snacks & Beverages,Completed,354,94,12,Medium,No
SID101162,Powai,12–3 PM,Snacks & Beverages,Completed,227,110,5,Low,Yes
SID101163,Powai,12–3 PM,Staples & Grains,Completed,231,148,9,Low,No
SID101164,Thane,6–10 PM,Personal Care,Completed,260,115,15,Low,No
SID101165,Dadar,9 AM–12,Snacks & Beverages,Completed,283,122,12,Medium,No
SID101166,Andheri,3–6 PM,Dairy,Completed,275,107,7,High,Yes
SID101167,Dadar,3–6 PM,Snacks & Beverages,Abandoned,186,212,10,Medium,No
SID101168,Thane,6–10 PM,Snacks & Beverages,Completed,230,133,9,Low,Yes
SID101169,Thane,6–10 PM,Fresh Produce,Completed,352,59,11,High,No
SID101170,Thane,9 AM–12,Snacks & Beverages,Completed,284,84,8,Low,No
SID101171,Powai,10 PM–2 AM,Snacks & Beverages,Completed,388,86,13,Low,Yes
SID101172,Andheri,10 PM–2 AM,Dairy,Completed,256,155,12,High,Yes
SID101173,Andheri,10 PM–2 AM,Fresh Produce,Completed,212,72,12,High,No
SID101174,Thane,6–10 PM,Fresh Produce,Abandoned,312,157,10,High,No
SID101175,Dadar,10 PM–2 AM,Fresh Produce,Completed,272,144,6,Medium,No
SID101176,Dadar,9 AM–12,Dairy,Abandoned,247,169,7,Medium,No
SID101177,Andheri,10 PM–2 AM,Snacks & Beverages,Completed,367,135,9,Low,No
SID101178,Bandra,10 PM–2 AM,Personal Care,Abandoned,288,174,11,Medium,No
SID101179,Andheri,10 PM–2 AM,Snacks & Beverages,Abandoned,171,168,10,Low,No
SID101180,Dadar,6–10 PM,Staples & Grains,Completed,229,52,10,Medium,No
SID101181,Powai,6–10 PM,Snacks & Beverages,Completed,145,54,9,Low,Yes
SID101182,Bandra,6–10 PM,Fresh Produce,Abandoned,145,264,12,Medium,No
SID101183,Andheri,6–10 PM,Dairy,Abandoned,165,216,5,High,No
SID101184,Bandra,9 AM–12,Snacks & Beverages,Completed,257,121,11,Medium,No
SID101185,Thane,6–9 AM,Frozen Foods,Completed,298,114,13,Low,No
SID101186,Powai,10 PM–2 AM,Dairy,Completed,205,101,13,Low,No
SID101187,Dadar,12–3 PM,Snacks & Beverages,Completed,347,121,13,Medium,Yes
SID101188,Andheri,3–6 PM,Staples & Grains,Completed,437,109,8,Low,No
SID101189,Bandra,6–10 PM,Snacks & Beverages,Abandoned,187,271,7,Medium,No
SID101190,Bandra,6–10 PM,Snacks & Beverages,Abandoned,235,135,12,Medium,No
SID101191,Thane,10 PM–2 AM,Fresh Produce,Completed,276,85,10,High,No
SID101192,Bandra,10 PM–2 AM,Dairy,Abandoned,158,164,12,Medium,No
SID101193,Bandra,10 PM–2 AM,Snacks & Beverages,Completed,351,157,9,Medium,No
SID101194,Bandra,12–3 PM,Dairy,Abandoned,128,219,6,Medium,No
SID101195,Thane,10 PM–2 AM,Snacks & Beverages,Abandoned,142,118,5,Low,No
SID101196,Bandra,12–3 PM,Snacks & Beverages,Completed,458,87,11,Medium,No
SID101197,Thane,3–6 PM,Fresh Produce,Abandoned,96,171,12,High,No
SID101198,Andheri,6–10 PM,Snacks & Beverages,Completed,264,94,10,Low,No
SID101199,Bandra,10 PM–2 AM,Fresh Produce,Abandoned,114,227,8,Medium,No
SID101200,Bandra,12–3 PM,Staples & Grains,Completed,177,131,12,Medium,No
SID101201,Bandra,6–10 PM,Snacks & Beverages,Completed,244,105,9,Medium,No
SID101202,Andheri,6–10 PM,Snacks & Beverages,Completed,391,37,17,Low,Yes
SID101203,Bandra,12–3 PM,Staples & Grains,Completed,292,120,11,Medium,No
SID101204,Andheri,10 PM–2 AM,Fresh Produce,Completed,372,37,11,High,No
SID101205,Powai,9 AM–12,Fresh Produce,Abandoned,204,149,13,Low,No
SID101206,Andheri,3–6 PM,Staples & Grains,Abandoned,253,218,11,Low,No
SID101207,Thane,6–9 AM,Fresh Produce,Abandoned,253,158,7,High,No
SID101208,Andheri,6–10 PM,Frozen Foods,Completed,454,65,9,Low,No
SID101209,Dadar,6–10 PM,Staples & Grains,Completed,214,131,14,Medium,No
SID101210,Thane,6–10 PM,Fresh Produce,Completed,515,130,10,High,No
SID101211,Bandra,12–3 PM,Snacks & Beverages,Completed,282,169,12,Medium,No
SID101212,Powai,10 PM–2 AM,Fresh Produce,Abandoned,180,216,9,Low,No
SID101213,Andheri,6–10 PM,Frozen Foods,Completed,435,117,13,Low,No
SID101214,Andheri,10 PM–2 AM,Staples & Grains,Abandoned,119,233,9,Low,No
SID101215,Bandra,3–6 PM,Dairy,Abandoned,74,171,10,Medium,No
SID101216,Andheri,6–10 PM,Fresh Produce,Abandoned,155,227,12,High,No
SID101217,Powai,9 AM–12,Staples & Grains,Abandoned,163,213,6,Low,No
SID101218,Andheri,10 PM–2 AM,Snacks & Beverages,Completed,292,168,13,Low,Yes
SID101219,Bandra,6–10 PM,Fresh Produce,Abandoned,178,215,12,Medium,No
SID101220,Powai,6–10 PM,Staples & Grains,Abandoned,193,135,11,Low,No
SID101221,Thane,10 PM–2 AM,Snacks & Beverages,Completed,483,108,9,Low,No
SID101222,Dadar,6–9 AM,Frozen Foods,Completed,329,61,7,Medium,No
SID101223,Powai,6–9 AM,Snacks & Beverages,Abandoned,162,150,11,Low,No
SID101224,Andheri,3–6 PM,Dairy,Abandoned,272,180,11,High,No
SID101225,Andheri,9 AM–12,Fresh Produce,Completed,429,154,8,High,No
SID101226,Powai,12–3 PM,Snacks & Beverages,Completed,195,124,11,Low,No
SID101227,Andheri,6–10 PM,Frozen Foods,Completed,307,20,6,Low,No
SID101228,Dadar,12–3 PM,Dairy,Completed,248,117,12,Medium,Yes
SID101229,Thane,6–10 PM,Fresh Produce,Completed,373,134,10,High,No
SID101230,Powai,3–6 PM,Fresh Produce,Completed,182,112,8,Low,No
SID101231,Dadar,12–3 PM,Fresh Produce,Abandoned,202,98,14,Medium,No
SID101232,Thane,9 AM–12,Dairy,Completed,252,81,8,High,Yes
SID101233,Dadar,12–3 PM,Snacks & Beverages,Completed,342,97,7,Medium,No
SID101234,Andheri,10 PM–2 AM,Personal Care,Completed,184,98,10,Low,No
SID101235,Bandra,12–3 PM,Snacks & Beverages,Abandoned,121,188,14,Medium,No
SID101236,Andheri,6–10 PM,Dairy,Completed,398,133,11,High,No
SID101237,Bandra,10 PM–2 AM,Snacks & Beverages,Completed,210,86,14,Medium,Yes
SID101238,Dadar,12–3 PM,Personal Care,Abandoned,209,181,9,Medium,No
SID101239,Powai,12–3 PM,Snacks & Beverages,Abandoned,136,122,8,Low,No
SID101240,Bandra,9 AM–12,Frozen Foods,Abandoned,194,171,13,Medium,No
SID101241,Dadar,6–9 AM,Snacks & Beverages,Completed,386,154,12,Medium,No
SID101242,Andheri,3–6 PM,Snacks & Beverages,Completed,272,126,10,Low,No
SID101243,Dadar,9 AM–12,Personal Care,Completed,313,71,10,Medium,No
SID101244,Andheri,12–3 PM,Fresh Produce,Completed,234,71,12,High,No
SID101245,Bandra,9 AM–12,Staples & Grains,Abandoned,239,202,13,Medium,No
SID101246,Bandra,12–3 PM,Personal Care,Completed,375,107,10,Medium,No
SID101247,Bandra,9 AM–12,Fresh Produce,Abandoned,155,247,10,Medium,No
SID101248,Bandra,6–10 PM,Staples & Grains,Abandoned,194,226,10,Medium,No
SID101249,Thane,3–6 PM,Fresh Produce,Abandoned,242,178,10,High,No
SID101250,Powai,6–10 PM,Staples & Grains,Abandoned,279,146,14,Low,No
SID101251,Bandra,12–3 PM,Snacks & Beverages,Completed,228,112,14,Medium,Yes
SID101252,Bandra,6–10 PM,Snacks & Beverages,Completed,350,159,9,Medium,Yes
SID101253,Dadar,6–10 PM,Frozen Foods,Completed,546,123,7,Medium,No
SID101254,Dadar,10 PM–2 AM,Fresh Produce,Completed,191,85,6,Medium,No
SID101255,Bandra,10 PM–2 AM,Snacks & Beverages,Completed,235,82,11,Medium,No
SID101256,Bandra,6–9 AM,Snacks & Beverages,Completed,335,124,10,Medium,No
SID101257,Powai,10 PM–2 AM,Staples & Grains,Abandoned,303,126,10,Low,No
SID101258,Dadar,6–9 AM,Fresh Produce,Abandoned,204,204,14,Medium,No
SID101259,Bandra,3–6 PM,Staples & Grains,Completed,444,196,8,Medium,No
SID101260,Dadar,9 AM–12,Fresh Produce,Abandoned,130,269,12,Medium,No
SID101261,Dadar,3–6 PM,Frozen Foods,Completed,408,64,10,Medium,No
SID101262,Andheri,6–10 PM,Snacks & Beverages,Completed,368,95,13,Low,No
SID101263,Andheri,6–9 AM,Fresh Produce,Completed,383,151,8,High,No
SID101264,Thane,3–6 PM,Dairy,Abandoned,202,246,6,High,No
SID101265,Bandra,3–6 PM,Fresh Produce,Completed,242,90,10,Medium,No
SID101266,Thane,9 AM–12,Snacks & Beverages,Completed,275,60,5,Low,No
SID101267,Bandra,3–6 PM,Snacks & Beverages,Completed,154,151,6,Medium,No
SID101268,Andheri,3–6 PM,Dairy,Completed,352,171,9,High,Yes
SID101269,Thane,10 PM–2 AM,Snacks & Beverages,Abandoned,90,161,10,Low,No
SID101270,Andheri,12–3 PM,Snacks & Beverages,Abandoned,289,207,9,Low,No
SID101271,Thane,12–3 PM,Dairy,Abandoned,145,214,9,High,No
SID101272,Andheri,9 AM–12,Fresh Produce,Abandoned,230,137,10,High,No
SID101273,Thane,10 PM–2 AM,Dairy,Abandoned,331,180,8,High,No
SID101274,Dadar,10 PM–2 AM,Fresh Produce,Abandoned,127,158,14,Medium,No
SID101275,Powai,6–9 AM,Staples & Grains,Abandoned,142,195,12,Low,No
SID101276,Thane,3–6 PM,Frozen Foods,Completed,408,113,12,Low,No
SID101277,Powai,12–3 PM,Staples & Grains,Completed,269,122,7,Low,No
SID101278,Dadar,6–10 PM,Fresh Produce,Completed,216,88,8,Medium,No
SID101279,Thane,12–3 PM,Fresh Produce,Completed,326,90,10,High,No
SID101280,Bandra,6–9 AM,Snacks & Beverages,Abandoned,272,270,6,Medium,No
SID101281,Andheri,3–6 PM,Dairy,Abandoned,105,108,11,High,No
SID101282,Bandra,9 AM–12,Personal Care,Completed,355,95,7,Medium,No
SID101283,Powai,6–9 AM,Staples & Grains,Abandoned,236,165,10,Low,No
SID101284,Andheri,10 PM–2 AM,Staples & Grains,Abandoned,121,182,9,Low,No
SID101285,Bandra,6–10 PM,Fresh Produce,Abandoned,138,162,13,Medium,No
SID101286,Andheri,10 PM–2 AM,Fresh Produce,Abandoned,294,229,9,High,No
SID101287,Thane,6–9 AM,Staples & Grains,Abandoned,205,43,8,Low,No
SID101288,Bandra,3–6 PM,Snacks & Beverages,Completed,313,72,14,Medium,Yes
SID101289,Bandra,3–6 PM,Personal Care,Completed,382,105,11,Medium,No
SID101290,Bandra,6–10 PM,Snacks & Beverages,Abandoned,160,182,13,Medium,No
SID101291,Bandra,6–10 PM,Staples & Grains,Completed,168,99,13,Medium,No
SID101292,Powai,12–3 PM,Snacks & Beverages,Abandoned,100,239,7,Low,No
SID101293,Bandra,12–3 PM,Fresh Produce,Abandoned,185,121,15,Medium,No
SID101294,Dadar,6–9 AM,Dairy,Completed,324,136,10,Medium,Yes
SID101295,Dadar,12–3 PM,Frozen Foods,Completed,327,89,11,Medium,No
SID101296,Bandra,6–9 AM,Personal Care,Completed,309,93,10,Medium,No
SID101297,Andheri,9 AM–12,Snacks & Beverages,Completed,464,178,13,Low,No
SID101298,Powai,10 PM–2 AM,Frozen Foods,Abandoned,282,161,15,Low,No
SID101299,Bandra,10 PM–2 AM,Snacks & Beverages,Abandoned,163,232,8,Medium,No
